name,annotations,codepoints
person pouting: medium-light skin tone,"gesture, medium-light skin tone, pouting","[128590, 127996]"
person pouting: medium skin tone,"gesture, medium skin tone, pouting","[128590, 127997]"
person pouting: medium-dark skin tone,"gesture, medium-dark skin tone, pouting","[128590, 127998]"
person pouting: dark skin tone,"dark skin tone, gesture, pouting","[128590, 127999]"
man pouting,"gesture, man, pouting","[128590, 8205, 9794, 65039]"
man pouting: light skin tone,"gesture, light skin tone, man, pouting","[128590, 127995, 8205, 9794, 65039]"
man pouting: medium-light skin tone,"gesture, man, medium-light skin tone, pouting","[128590, 127996, 8205, 9794, 65039]"
man pouting: medium skin tone,"gesture, man, medium skin tone, pouting","[128590, 127997, 8205, 9794, 65039]"
man pouting: medium-dark skin tone,"gesture, man, medium-dark skin tone, pouting","[128590, 127998, 8205, 9794, 65039]"
man pouting: dark skin tone,"dark skin tone, gesture, man, pouting","[128590, 127999, 8205, 9794, 65039]"
woman pouting,"gesture, pouting, woman","[128590, 8205, 9792, 65039]"
woman pouting: light skin tone,"gesture, light skin tone, pouting, woman","[128590, 127995, 8205, 9792, 65039]"
woman pouting: medium-light skin tone,"gesture, medium-light skin tone, pouting, woman","[128590, 127996, 8205, 9792, 65039]"
woman pouting: medium skin tone,"gesture, medium skin tone, pouting, woman","[128590, 127997, 8205, 9792, 65039]"
woman pouting: medium-dark skin tone,"gesture, medium-dark skin tone, pouting, woman","[128590, 127998, 8205, 9792, 65039]"
woman pouting: dark skin tone,"dark skin tone, gesture, pouting, woman","[128590, 127999, 8205, 9792, 65039]"
person gesturing no,"forbidden, gesture, hand, no, not, prohibited",[128581]
person gesturing no: light skin tone,"forbidden, gesture, hand, light skin tone, no, not, prohibited","[128581, 127995]"
person gesturing no: medium-light skin tone,"forbidden, gesture, hand, medium-light skin tone, no, not, prohibited","[128581, 127996]"
person gesturing no: medium skin tone,"forbidden, gesture, hand, medium skin tone, no, not, prohibited","[128581, 127997]"
person gesturing no: medium-dark skin tone,"forbidden, gesture, hand, medium-dark skin tone, no, not, prohibited","[128581, 127998]"
person gesturing no: dark skin tone,"dark skin tone, forbidden, gesture, hand, no, not, prohibited","[128581, 127999]"
man gesturing no,"forbidden, gesture, hand, man, no, prohibited","[128581, 8205, 9794, 65039]"
man gesturing no: light skin tone,"forbidden, gesture, hand, light skin tone, man, no, prohibited","[128581, 127995, 8205, 9794, 65039]"
man gesturing no: medium-light skin tone,"forbidden, gesture, hand, man, medium-light skin tone, no, prohibited","[128581, 127996, 8205, 9794, 65039]"
man gesturing no: medium skin tone,"forbidden, gesture, hand, man, medium skin tone, no, prohibited","[128581, 127997, 8205, 9794, 65039]"
man gesturing no: medium-dark skin tone,"forbidden, gesture, hand, man, medium-dark skin tone, no, prohibited","[128581, 127998, 8205, 9794, 65039]"
man gesturing no: dark skin tone,"dark skin tone, forbidden, gesture, hand, man, no, prohibited","[128581, 127999, 8205, 9794, 65039]"
woman gesturing no,"forbidden, gesture, hand, no, prohibited, woman","[128581, 8205, 9792, 65039]"
woman gesturing no: light skin tone,"forbidden, gesture, hand, light skin tone, no, prohibited, woman","[128581, 127995, 8205, 9792, 65039]"
woman gesturing no: medium-light skin tone,"forbidden, gesture, hand, medium-light skin tone, no, prohibited, woman","[128581, 127996, 8205, 9792, 65039]"
woman gesturing no: medium skin tone,"forbidden, gesture, hand, medium skin tone, no, prohibited, woman","[128581, 127997, 8205, 9792, 65039]"
woman gesturing no: medium-dark skin tone,"forbidden, gesture, hand, medium-dark skin tone, no, prohibited, woman","[128581, 127998, 8205, 9792, 65039]"
woman gesturing no: dark skin tone,"dark skin tone, forbidden, gesture, hand, no, prohibited, woman","[128581, 127999, 8205, 9792, 65039]"
person gesturing ok,"gesture, hand, ok",[128582]
person gesturing ok: light skin tone,"gesture, hand, light skin tone, ok","[128582, 127995]"
person gesturing ok: medium-light skin tone,"gesture, hand, medium-light skin tone, ok","[128582, 127996]"
person gesturing ok: medium skin tone,"gesture, hand, medium skin tone, ok","[128582, 127997]"
person gesturing ok: medium-dark skin tone,"gesture, hand, medium-dark skin tone, ok","[128582, 127998]"
person gesturing ok: dark skin tone,"dark skin tone, gesture, hand, ok","[128582, 127999]"
man gesturing ok,"gesture, hand, man, ok","[128582, 8205, 9794, 65039]"
man gesturing ok: light skin tone,"gesture, hand, light skin tone, man, ok","[128582, 127995, 8205, 9794, 65039]"
man gesturing ok: medium-light skin tone,"gesture, hand, man, medium-light skin tone, ok","[128582, 127996, 8205, 9794, 65039]"
man gesturing ok: medium skin tone,"gesture, hand, man, medium skin tone, ok","[128582, 127997, 8205, 9794, 65039]"
man gesturing ok: medium-dark skin tone,"gesture, hand, man, medium-dark skin tone, ok","[128582, 127998, 8205, 9794, 65039]"
man gesturing ok: dark skin tone,"dark skin tone, gesture, hand, man, ok","[128582, 127999, 8205, 9794, 65039]"
woman gesturing ok,"gesture, hand, ok, woman","[128582, 8205, 9792, 65039]"
woman gesturing ok: light skin tone,"gesture, hand, light skin tone, ok, woman","[128582, 127995, 8205, 9792, 65039]"
woman gesturing ok: medium-light skin tone,"gesture, hand, medium-light skin tone, ok, woman","[128582, 127996, 8205, 9792, 65039]"
woman gesturing ok: medium skin tone,"gesture, hand, medium skin tone, ok, woman","[128582, 127997, 8205, 9792, 65039]"
woman gesturing ok: medium-dark skin tone,"gesture, hand, medium-dark skin tone, ok, woman","[128582, 127998, 8205, 9792, 65039]"
woman gesturing ok: dark skin tone,"dark skin tone, gesture, hand, ok, woman","[128582, 127999, 8205, 9792, 65039]"
person tipping hand,"hand, help, information, sassy, tipping",[128129]
person tipping hand: light skin tone,"hand, help, information, light skin tone, sassy, tipping","[128129, 127995]"
person tipping hand: medium-light skin tone,"hand, help, information, medium-light skin tone, sassy, tipping","[128129, 127996]"
person tipping hand: medium skin tone,"hand, help, information, medium skin tone, sassy, tipping","[128129, 127997]"
person tipping hand: medium-dark skin tone,"hand, help, information, medium-dark skin tone, sassy, tipping","[128129, 127998]"
person tipping hand: dark skin tone,"dark skin tone, hand, help, information, sassy, tipping","[128129, 127999]"
man tipping hand,"man, sassy, tipping hand","[128129, 8205, 9794, 65039]"
man tipping hand: light skin tone,"light skin tone, man, sassy, tipping hand","[128129, 127995, 8205, 9794, 65039]"
man tipping hand: medium-light skin tone,"man, medium-light skin tone, sassy, tipping hand","[128129, 127996, 8205, 9794, 65039]"
man tipping hand: medium skin tone,"man, medium skin tone, sassy, tipping hand","[128129, 127997, 8205, 9794, 65039]"
man tipping hand: medium-dark skin tone,"man, medium-dark skin tone, sassy, tipping hand","[128129, 127998, 8205, 9794, 65039]"
man tipping hand: dark skin tone,"dark skin tone, man, sassy, tipping hand","[128129, 127999, 8205, 9794, 65039]"
woman tipping hand,"sassy, tipping hand, woman","[128129, 8205, 9792, 65039]"
woman tipping hand: light skin tone,"light skin tone, sassy, tipping hand, woman","[128129, 127995, 8205, 9792, 65039]"
woman tipping hand: medium-light skin tone,"medium-light skin tone, sassy, tipping hand, woman","[128129, 127996, 8205, 9792, 65039]"
woman tipping hand: medium skin tone,"medium skin tone, sassy, tipping hand, woman","[128129, 127997, 8205, 9792, 65039]"
woman tipping hand: medium-dark skin tone,"medium-dark skin tone, sassy, tipping hand, woman","[128129, 127998, 8205, 9792, 65039]"
woman tipping hand: dark skin tone,"dark skin tone, sassy, tipping hand, woman","[128129, 127999, 8205, 9792, 65039]"
person raising hand,"gesture, hand, happy, raised",[128587]
person raising hand: light skin tone,"gesture, hand, happy, light skin tone, raised","[128587, 127995]"
person raising hand: medium-light skin tone,"gesture, hand, happy, medium-light skin tone, raised","[128587, 127996]"
person raising hand: medium skin tone,"gesture, hand, happy, medium skin tone, raised","[128587, 127997]"
person raising hand: medium-dark skin tone,"gesture, hand, happy, medium-dark skin tone, raised","[128587, 127998]"
person raising hand: dark skin tone,"dark skin tone, gesture, hand, happy, raised","[128587, 127999]"
man raising hand,"gesture, man, raising hand","[128587, 8205, 9794, 65039]"
man raising hand: light skin tone,"gesture, light skin tone, man, raising hand","[128587, 127995, 8205, 9794, 65039]"
man raising hand: medium-light skin tone,"gesture, man, medium-light skin tone, raising hand","[128587, 127996, 8205, 9794, 65039]"
man raising hand: medium skin tone,"gesture, man, medium skin tone, raising hand","[128587, 127997, 8205, 9794, 65039]"
man raising hand: medium-dark skin tone,"gesture, man, medium-dark skin tone, raising hand","[128587, 127998, 8205, 9794, 65039]"
man raising hand: dark skin tone,"dark skin tone, gesture, man, raising hand","[128587, 127999, 8205, 9794, 65039]"
woman raising hand,"gesture, raising hand, woman","[128587, 8205, 9792, 65039]"
woman raising hand: light skin tone,"gesture, light skin tone, raising hand, woman","[128587, 127995, 8205, 9792, 65039]"
woman raising hand: medium-light skin tone,"gesture, medium-light skin tone, raising hand, woman","[128587, 127996, 8205, 9792, 65039]"
woman raising hand: medium skin tone,"gesture, medium skin tone, raising hand, woman","[128587, 127997, 8205, 9792, 65039]"
woman raising hand: medium-dark skin tone,"gesture, medium-dark skin tone, raising hand, woman","[128587, 127998, 8205, 9792, 65039]"
woman raising hand: dark skin tone,"dark skin tone, gesture, raising hand, woman","[128587, 127999, 8205, 9792, 65039]"
person bowing,"apology, bow, gesture, sorry",[128583]
person bowing: light skin tone,"apology, bow, gesture, light skin tone, sorry","[128583, 127995]"
person bowing: medium-light skin tone,"apology, bow, gesture, medium-light skin tone, sorry","[128583, 127996]"
person bowing: medium skin tone,"apology, bow, gesture, medium skin tone, sorry","[128583, 127997]"
person bowing: medium-dark skin tone,"apology, bow, gesture, medium-dark skin tone, sorry","[128583, 127998]"
