name,annotations,codepoints
notebook,notebook,[128211]
ledger,notebook,[128210]
page with curl,"curl, document, page",[128195]
scroll,paper,[128220]
page facing up,"document, page",[128196]
newspaper,"news, paper",[128240]
rolled-up newspaper,"news, newspaper, paper, rolled",[128478]
bookmark tabs,"bookmark, mark, marker, tabs",[128209]
bookmark,mark,[128278]
label,label,[127991]
money bag,"bag, dollar, money, moneybag",[128176]
yen banknote,"bank, banknote, bill, currency, money, note, yen",[128180]
dollar banknote,"bank, banknote, bill, currency, dollar, money, note",[128181]
euro banknote,"bank, banknote, bill, currency, euro, money, note",[128182]
pound banknote,"bank, banknote, bill, currency, money, note, pound",[128183]
money with wings,"bank, banknote, bill, dollar, fly, money, note, wings",[128184]
credit card,"bank, card, credit, money",[128179]
chart increasing with yen,"bank, chart, currency, graph, growth, market, money, rise, trend, upward, yen",[128185]
currency exchange,"bank, currency, exchange, money",[128177]
heavy dollar sign,"currency, dollar, money",[128178]
envelope,"email, letter",[9993]
e-mail,"email, letter, mail",[128231]
incoming envelope,"e-mail, email, envelope, incoming, letter, mail, receive",[128232]
envelope with arrow,"arrow, down, e-mail, email, envelope, letter, mail, outgoing, sent",[128233]
outbox tray,"box, letter, mail, outbox, sent, tray",[128228]
inbox tray,"box, inbox, letter, mail, receive, tray",[128229]
package,"box, parcel",[128230]
closed mailbox with raised flag,"closed, mail, mailbox, postbox",[128235]
closed mailbox with lowered flag,"closed, lowered, mail, mailbox, postbox",[128234]
open mailbox with raised flag,"mail, mailbox, open, postbox",[128236]
open mailbox with lowered flag,"lowered, mail, mailbox, open, postbox",[128237]
postbox,"mail, mailbox",[128238]
ballot box with ballot,"ballot, box",[128499]
pencil,pencil,[9999]
black nib,"nib, pen",[10002]
fountain pen,"fountain, pen",[128395]
pen,ballpoint,[128394]
paintbrush,painting,[128396]
crayon,crayon,[128397]
memo,pencil,[128221]
briefcase,briefcase,[128188]
file folder,"file, folder",[128193]
open file folder,"file, folder, open",[128194]
card index dividers,"card, dividers, index",[128450]
calendar,date,[128197]
tear-off calendar,calendar,[128198]
spiral notepad,"note, pad, spiral",[128466]
spiral calendar,"calendar, pad, spiral",[128467]
card index,"card, index, rolodex",[128199]
chart increasing,"chart, graph, growth, trend, upward",[128200]
chart decreasing,"chart, down, graph, trend",[128201]
bar chart,"bar, chart, graph",[128202]
clipboard,clipboard,[128203]
pushpin,pin,[128204]
round pushpin,"pin, pushpin",[128205]
paperclip,paperclip,[128206]
linked paperclips,"link, paperclip",[128391]
straight ruler,"ruler, straight edge",[128207]
triangular ruler,"ruler, set, triangle",[128208]
scissors,"cutting, tool",[9986]
card file box,"box, card, file",[128451]
file cabinet,"cabinet, file, filing",[128452]
wastebasket,wastebasket,[128465]
locked,closed,[128274]
unlocked,"lock, open, unlock",[128275]
locked with pen,"ink, lock, nib, pen, privacy",[128271]
locked with key,"closed, key, lock, secure",[128272]
key,"lock, password",[128273]
old key,"clue, key, lock, old",[128477]
hammer,tool,[128296]
pick,"mining, tool",[9935]
hammer and pick,"hammer, pick, tool",[9874]
hammer and wrench,"hammer, spanner, tool, wrench",[128736]
dagger,"knife, weapon",[128481]
crossed swords,"crossed, swords, weapon",[9876]
pistol,"gun, handgun, revolver, tool, weapon",[128299]
bow and arrow,"archer, archery, arrow, bow, sagittarius, tool, weapon, zodiac",[127993]
shield,weapon,[128737]
wrench,"spanner, tool, wrench",[128295]
nut and bolt,"bolt, nut, tool",[128297]
gear,tool,[9881]
clamp,"compress, tool, vice",[128476]
alembic,"chemistry, tool",[9879]
balance scale,"balance, justice, libra, scales, tool, weight, zodiac",[9878]
link,link,[128279]
chains,chain,[9939]
syringe,"doctor, medicine, needle, shot, sick, tool",[128137]
pill,"doctor, medicine, sick",[128138]
cigarette,smoking,[128684]
coffin,death,[9904]
funeral urn,"ashes, death, funeral, urn",[9905]
moai,"face, moyai, statue",[128511]
oil drum,"drum, oil",[128738]
crystal ball,"ball, crystal, fairy tale, fantasy, fortune, tool",[128302]
shopping cart,"cart, shopping, trolley",[128722]
atm sign,"atm, automated, bank, teller",[127975]
litter in bin sign,"litter, litter bin",[128686]
potable water,"drinking, potable, water",[128688]
wheelchair symbol,access,[9855]
mens room,"lavatory, man, restroom, wc",[128697]
womens room,"lavatory, restroom, wc, woman",[128698]
restroom,"lavatory, restroom, wc",[128699]
baby symbol,"baby, changing",[128700]
water closet,"closet, lavatory, restroom, water, wc",[128702]
passport control,"control, passport",[128706]
customs,customs,[128707]
baggage claim,"baggage, claim",[128708]
left luggage,"baggage, locker, luggage",[128709]
warning,warning,[9888]
children crossing,"child, crossing, pedestrian, traffic",[128696]
no entry,"entry, forbidden, no, not, prohibited, traffic",[9940]
prohibited,"entry, forbidden, no, not",[128683]
no bicycles,"bicycle, bike, forbidden, no, not, prohibited",[128691]
no smoking,"forbidden, no, not, prohibited, smoking",[128685]
no littering,"forbidden, litter, no, not, prohibited",[128687]
non-potable water,"non-drinking, non-potable, water",[128689]
no pedestrians,"forbidden, no, not, pedestrian, prohibited",[128695]
no mobile phones,"cell, forbidden, mobile, no, not, phone, prohibited, telephone",[128245]
no one under eighteen,"18, age restriction, eighteen, forbidden, no, not, prohibited, underage",[128286]
radioactive,"radioactive, sign",[9762]
biohazard,"biohazard, sign",[9763]
up arrow,"arrow, cardinal, direction, north",[11014]
up-right arrow,"arrow, direction, intercardinal, northeast",[8599]
right arrow,"arrow, cardinal, direction, east",[10145]
down-right arrow,"arrow, direction, intercardinal, southeast",[8600]
down arrow,"arrow, cardinal, direction, down, south",[11015]
down-left arrow,"arrow, direction, intercardinal, southwest",[8601]
left arrow,"arrow, cardinal, direction, west",[11013]
up-left arrow,"arrow, direction, intercardinal, northwest",[8598]
up-down arrow,arrow,[8597]
left-right arrow,arrow,[8596]
right arrow curving left,arrow,[8617]
left arrow curving right,arrow,[8618]
right arrow curving up,arrow,[10548]
right arrow curving down,"arrow, down",[10549]
clockwise vertical arrows,"arrow, clockwise, reload",[128259]
anticlockwise arrows button,"anticlockwise, arrow, counterclockwise, withershins",[128260]
back arrow,"arrow, back",[128281]
end arrow,"arrow, end",[128282]
on! arrow,"arrow, mark, on",[128283]
soon arrow,"arrow, soon",[128284]
top arrow,"arrow, top, up",[128285]
place of worship,"religion, worship",[128720]
atom symbol,"atheist, atom",[9883]
om,"hindu, religion",[128329]
star of david,"david, jew, jewish, religion, star",[10017]
wheel of dharma,"buddhist, dharma, religion, wheel",[9784]
yin yang,"religion, tao, taoist, yang, yin",[9775]
latin cross,"christian, cross, religion",[10013]
orthodox cross,"christian, cross, religion",[9766]
star and crescent,"islam, muslim, religion",[9770]
peace symbol,peace,[9774]
menorah,"candelabrum, candlestick, religion",[128334]
dotted six-pointed star,"fortune, star",[128303]
aries,"ram, zodiac",[9800]
taurus,"bull, ox, zodiac",[9801]
gemini,"twins, zodiac",[9802]
cancer,"crab, zodiac",[9803]
leo,"lion, zodiac",[9804]
virgo,zodiac,[9805]
libra,"balance, justice, scales, zodiac",[9806]
scorpius,"scorpio, scorpion, zodiac",[9807]
sagittarius,"archer, zodiac",[9808]
capricorn,"goat, zodiac",[9809]
aquarius,"bearer, water, zodiac",[9810]
pisces,"fish, zodiac",[9811]
ophiuchus,"bearer, serpent, snake, zodiac",[9934]
shuffle tracks button,"arrow, crossed",[128256]
repeat button,"arrow, clockwise, repeat",[128257]
repeat single button,"arrow, clockwise, once",[128258]
play button,"arrow, play, right, triangle",[9654]
fast-forward button,"arrow, double, fast, forward",[9193]
next track button,"arrow, next scene, next track, triangle",[9197]
play or pause button,"arrow, pause, play, right, triangle",[9199]
reverse button,"arrow, left, reverse, triangle",[9664]
fast reverse button,"arrow, double, rewind",[9194]
last track button,"arrow, previous scene, previous track, triangle",[9198]
up button,"arrow, button, red",[128316]
fast up button,"arrow, double",[9195]
down button,"arrow, button, down, red",[128317]
fast down button,"arrow, double, down",[9196]
pause button,"bar, double, pause, vertical",[9208]
stop button,"square, stop",[9209]
record button,"circle, record",[9210]
eject button,eject,[9167]
cinema,"camera, film, movie",[127910]
dim button,"brightness, dim, low",[128261]
bright button,"bright, brightness",[128262]
antenna bars,"antenna, bar, cell, mobile, phone, signal, telephone",[128246]
vibration mode,"cell, mobile, mode, phone, telephone, vibration",[128243]
mobile phone off,"cell, mobile, off, phone, telephone",[128244]
recycling symbol,recycle,[9851]
name badge,"badge, name",[128219]
fleur-de-lis,fleur-de-lis,[9884]
japanese symbol for beginner,"beginner, chevron, green, japanese, leaf, tool, yellow",[128304]
trident emblem,"anchor, emblem, ship, tool, trident",[128305]
heavy large circle,"circle, o",[11093]
white heavy check mark,"check, mark",[9989]
ballot box with check,"ballot, box, check",[9745]
heavy check mark,"check, mark",[10004]
heavy multiplication x,"cancel, multiplication, multiply, x",[10006]
cross mark,"cancel, mark, multiplication, multiply, x",[10060]
cross mark button,"mark, square",[10062]
heavy plus sign,"math, plus",[10133]
female sign,woman,[9792]
male sign,man,[9794]
medical symbol,"aesculapius, medicine, staff",[9877]
heavy minus sign,"math, minus",[10134]
heavy division sign,"division, math",[10135]
curly loop,"curl, loop",[10160]
double curly loop,"curl, double, loop",[10175]
part alternation mark,"mark, part",[12349]
eight-spoked asterisk,asterisk,[10035]
eight-pointed star,star,[10036]
sparkle,sparkle,[10055]
double exclamation mark,"bangbang, exclamation, mark, punctuation",[8252]
exclamation question mark,"exclamation, interrobang, mark, punctuation, question",[8265]
question mark,"mark, punctuation, question",[10067]
white question mark,"mark, outlined, punctuation, question",[10068]
white exclamation mark,"exclamation, mark, outlined, punctuation",[10069]
exclamation mark,"exclamation, mark, punctuation",[10071]
wavy dash,"dash, punctuation, wavy",[12336]
copyright,copyright,[169]
registered,registered,[174]
trade mark,"mark, tm, trademark",[8482]
keycap: #,keycap,"[35, 65039, 8419]"
keycap: *,keycap,"[42, 65039, 8419]"
keycap: 0,keycap,"[48, 65039, 8419]"
keycap: 1,keycap,"[49, 65039, 8419]"
keycap: 2,keycap,"[50, 65039, 8419]"
keycap: 3,keycap,"[51, 65039, 8419]"
keycap: 4,keycap,"[52, 65039, 8419]"
keycap: 5,keycap,"[53, 65039, 8419]"
keycap: 6,keycap,"[54, 65039, 8419]"
keycap: 7,keycap,"[55, 65039, 8419]"
keycap: 8,keycap,"[56, 65039, 8419]"
keycap: 9,keycap,"[57, 65039, 8419]"
keycap 10,keycap 10,[128287]
hundred points,"100, full, hundred, score",[128175]
input latin uppercase,"abcd, input, latin, letters, uppercase",[128288]
input latin lowercase,"abcd, input, latin, letters, lowercase",[128289]
input numbers,"1234, input, numbers",[128290]
input symbols,"&%, input",[128291]
input latin letters,"abc, alphabet, input, latin, letters",[128292]
a button (blood type),"a, blood type",[127344]
ab button (blood type),"ab, blood type",[127374]
b button (blood type),"b, blood type",[127345]
cl button,cl,[127377]
cool button,cool,[127378]
free button,free,[127379]
information,"i, information",[8505]
id button,"id, identity",[127380]
circled m,"circle, m",[9410]
new button,new,[127381]
ng button,ng,[127382]
o button (blood type),"blood type, o",[127358]
ok button,ok,[127383]
p button,parking,[127359]
sos button,"help, sos",[127384]
up! button,"mark, up",[127385]
vs button,"versus, vs",[127386]
japanese here button,"here, japanese, katakana, ",[127489]
japanese service charge button,"service charge, japanese, katakana, ",[127490]
japanese monthly amount button,"monthly amount, ideograph, japanese, ",[127543]
japanese not free of charge button,"not free of charge, ideograph, japanese, ",[127542]
japanese reserved button,"reserved, ideograph, japanese, ",[127535]
japanese bargain button,"bargain, ideograph, japanese, ",[127568]
japanese discount button,"discount, ideograph, japanese, ",[127545]
japanese free of charge button,"free of charge, ideograph, japanese, ",[127514]
japanese prohibited button,"prohibited, ideograph, japanese, ",[127538]
japanese acceptable button,"acceptable, ideograph, japanese, ",[127569]
japanese application button,"application, ideograph, japanese, ",[127544]
japanese passing grade button,"passing grade, ideograph, japanese, ",[127540]
japanese vacancy button,"vacancy, ideograph, japanese, ",[127539]
japanese congratulations button,"congratulations, ideograph, japanese, ",[12951]
japanese secret button,"secret, ideograph, japanese, ",[12953]
japanese open for business button,"open for business, ideograph, japanese, ",[127546]
japanese no vacancy button,"no vacancy, ideograph, japanese, ",[127541]
black small square,"geometric, square",[9642]
white small square,"geometric, square",[9643]
white medium square,"geometric, square",[9723]
black medium square,"geometric, square",[9724]
white medium-small square,"geometric, square",[9725]
black medium-small square,"geometric, square",[9726]
black large square,"geometric, square",[11035]
white large square,"geometric, square",[11036]
large orange diamond,"diamond, geometric, orange",[128310]
large blue diamond,"blue, diamond, geometric",[128311]
small orange diamond,"diamond, geometric, orange",[128312]
small blue diamond,"blue, diamond, geometric",[128313]
red triangle pointed up,"geometric, red",[128314]
red triangle pointed down,"down, geometric, red",[128315]
diamond with a dot,"comic, diamond, geometric, inside",[128160]
radio button,"button, geometric, radio",[128280]
black square button,"button, geometric, square",[128306]
white square button,"button, geometric, outlined, square",[128307]
white circle,"circle, geometric",[9898]
black circle,"circle, geometric",[9899]
red circle,"circle, geometric, red",[128308]
blue circle,"blue, circle, geometric",[128309]
chequered flag,"checkered, chequered, racing",[127937]
triangular flag,post,[128681]
crossed flags,"celebration, cross, crossed, japanese",[127884]
black flag,waving,[127988]
white flag,waving,[127987]
rainbow flag,rainbow,"[127987, 65039, 8205, 127752]"
ascension island,flag,"[127462, 127464]"
andorra,flag,"[127462, 127465]"
united arab emirates,flag,"[127462, 127466]"
afghanistan,flag,"[127462, 127467]"
antigua & barbuda,flag,"[127462, 127468]"
anguilla,flag,"[127462, 127470]"
albania,flag,"[127462, 127473]"
armenia,flag,"[127462, 127474]"
angola,flag,"[127462, 127476]"
antarctica,flag,"[127462, 127478]"
argentina,flag,"[127462, 127479]"
american samoa,flag,"[127462, 127480]"
austria,flag,"[127462, 127481]"
australia,flag,"[127462, 127482]"
aruba,flag,"[127462, 127484]"
land islands,flag,"[127462, 127485]"
azerbaijan,flag,"[127462, 127487]"
bosnia & herzegovina,flag,"[127463, 127462]"
barbados,flag,"[127463, 127463]"
bangladesh,flag,"[127463, 127465]"
belgium,flag,"[127463, 127466]"
burkina faso,flag,"[127463, 127467]"
bulgaria,flag,"[127463, 127468]"
bahrain,flag,"[127463, 127469]"
burundi,flag,"[127463, 127470]"
benin,flag,"[127463, 127471]"
st. barthlemy,flag,"[127463, 127473]"
bermuda,flag,"[127463, 127474]"
brunei,flag,"[127463, 127475]"
bolivia,flag,"[127463, 127476]"
caribbean netherlands,flag,"[127463, 127478]"
brazil,flag,"[127463, 127479]"
bahamas,flag,"[127463, 127480]"
bhutan,flag,"[127463, 127481]"
bouvet island,flag,"[127463, 127483]"
botswana,flag,"[127463, 127484]"
belarus,flag,"[127463, 127486]"
belize,flag,"[127463, 127487]"
canada,flag,"[127464, 127462]"
cocos (keeling) islands,flag,"[127464, 127464]"
congo - kinshasa,flag,"[127464, 127465]"
central african republic,flag,"[127464, 127467]"
congo - brazzaville,flag,"[127464, 127468]"
switzerland,flag,"[127464, 127469]"
cte divoire,flag,"[127464, 127470]"
cook islands,flag,"[127464, 127472]"
chile,flag,"[127464, 127473]"
cameroon,flag,"[127464, 127474]"
china,flag,"[127464, 127475]"
colombia,flag,"[127464, 127476]"
clipperton island,flag,"[127464, 127477]"
costa rica,flag,"[127464, 127479]"
cuba,flag,"[127464, 127482]"
cape verde,flag,"[127464, 127483]"
curaao,flag,"[127464, 127484]"
christmas island,flag,"[127464, 127485]"
cyprus,flag,"[127464, 127486]"
czech republic,flag,"[127464, 127487]"
germany,flag,"[127465, 127466]"
diego garcia,flag,"[127465, 127468]"
djibouti,flag,"[127465, 127471]"
denmark,flag,"[127465, 127472]"
dominica,flag,"[127465, 127474]"
dominican republic,flag,"[127465, 127476]"
algeria,flag,"[127465, 127487]"
ceuta & melilla,flag,"[127466, 127462]"
ecuador,flag,"[127466, 127464]"
estonia,flag,"[127466, 127466]"
egypt,flag,"[127466, 127468]"
western sahara,flag,"[127466, 127469]"
eritrea,flag,"[127466, 127479]"
spain,flag,"[127466, 127480]"
ethiopia,flag,"[127466, 127481]"
european union,flag,"[127466, 127482]"
finland,flag,"[127467, 127470]"
fiji,flag,"[127467, 127471]"
falkland islands,flag,"[127467, 127472]"
micronesia,flag,"[127467, 127474]"
faroe islands,flag,"[127467, 127476]"
france,flag,"[127467, 127479]"
gabon,flag,"[127468, 127462]"
united kingdom,flag,"[127468, 127463]"
grenada,flag,"[127468, 127465]"
georgia,flag,"[127468, 127466]"
french guiana,flag,"[127468, 127467]"
guernsey,flag,"[127468, 127468]"
ghana,flag,"[127468, 127469]"
gibraltar,flag,"[127468, 127470]"
greenland,flag,"[127468, 127473]"
gambia,flag,"[127468, 127474]"
guinea,flag,"[127468, 127475]"
guadeloupe,flag,"[127468, 127477]"
equatorial guinea,flag,"[127468, 127478]"
greece,flag,"[127468, 127479]"
south georgia & south sandwich islands,flag,"[127468, 127480]"
guatemala,flag,"[127468, 127481]"
guam,flag,"[127468, 127482]"
guinea-bissau,flag,"[127468, 127484]"
guyana,flag,"[127468, 127486]"
hong kong sar china,flag,"[127469, 127472]"
heard & mcdonald islands,flag,"[127469, 127474]"
honduras,flag,"[127469, 127475]"
croatia,flag,"[127469, 127479]"
haiti,flag,"[127469, 127481]"
hungary,flag,"[127469, 127482]"
canary islands,flag,"[127470, 127464]"
indonesia,flag,"[127470, 127465]"
ireland,flag,"[127470, 127466]"
israel,flag,"[127470, 127473]"
isle of man,flag,"[127470, 127474]"
india,flag,"[127470, 127475]"
british indian ocean territory,flag,"[127470, 127476]"
iraq,flag,"[127470, 127478]"
iran,flag,"[127470, 127479]"
iceland,flag,"[127470, 127480]"
italy,flag,"[127470, 127481]"
jersey,flag,"[127471, 127466]"
jamaica,flag,"[127471, 127474]"
jordan,flag,"[127471, 127476]"
japan,flag,"[127471, 127477]"
kenya,flag,"[127472, 127466]"
kyrgyzstan,flag,"[127472, 127468]"
cambodia,flag,"[127472, 127469]"
kiribati,flag,"[127472, 127470]"
comoros,flag,"[127472, 127474]"
st. kitts & nevis,flag,"[127472, 127475]"
north korea,flag,"[127472, 127477]"
south korea,flag,"[127472, 127479]"
kuwait,flag,"[127472, 127484]"
cayman islands,flag,"[127472, 127486]"
kazakhstan,flag,"[127472, 127487]"
laos,flag,"[127473, 127462]"
lebanon,flag,"[127473, 127463]"
st. lucia,flag,"[127473, 127464]"
liechtenstein,flag,"[127473, 127470]"
sri lanka,flag,"[127473, 127472]"
liberia,flag,"[127473, 127479]"
lesotho,flag,"[127473, 127480]"
lithuania,flag,"[127473, 127481]"
luxembourg,flag,"[127473, 127482]"
latvia,flag,"[127473, 127483]"
libya,flag,"[127473, 127486]"
morocco,flag,"[127474, 127462]"
monaco,flag,"[127474, 127464]"
moldova,flag,"[127474, 127465]"
montenegro,flag,"[127474, 127466]"
st. martin,flag,"[127474, 127467]"
madagascar,flag,"[127474, 127468]"
marshall islands,flag,"[127474, 127469]"
macedonia,flag,"[127474, 127472]"
mali,flag,"[127474, 127473]"
myanmar (burma),flag,"[127474, 127474]"
mongolia,flag,"[127474, 127475]"
macau sar china,flag,"[127474, 127476]"
northern mariana islands,flag,"[127474, 127477]"
martinique,flag,"[127474, 127478]"
mauritania,flag,"[127474, 127479]"
montserrat,flag,"[127474, 127480]"
malta,flag,"[127474, 127481]"
mauritius,flag,"[127474, 127482]"
maldives,flag,"[127474, 127483]"
malawi,flag,"[127474, 127484]"
mexico,flag,"[127474, 127485]"
malaysia,flag,"[127474, 127486]"
mozambique,flag,"[127474, 127487]"
namibia,flag,"[127475, 127462]"
new caledonia,flag,"[127475, 127464]"
niger,flag,"[127475, 127466]"
norfolk island,flag,"[127475, 127467]"
nigeria,flag,"[127475, 127468]"
nicaragua,flag,"[127475, 127470]"
netherlands,flag,"[127475, 127473]"
norway,flag,"[127475, 127476]"
nepal,flag,"[127475, 127477]"
nauru,flag,"[127475, 127479]"
niue,flag,"[127475, 127482]"
new zealand,flag,"[127475, 127487]"
oman,flag,"[127476, 127474]"
panama,flag,"[127477, 127462]"
peru,flag,"[127477, 127466]"
french polynesia,flag,"[127477, 127467]"
papua new guinea,flag,"[127477, 127468]"
philippines,flag,"[127477, 127469]"
pakistan,flag,"[127477, 127472]"
poland,flag,"[127477, 127473]"
st. pierre & miquelon,flag,"[127477, 127474]"
pitcairn islands,flag,"[127477, 127475]"
puerto rico,flag,"[127477, 127479]"
palestinian territories,flag,"[127477, 127480]"
portugal,flag,"[127477, 127481]"
palau,flag,"[127477, 127484]"
paraguay,flag,"[127477, 127486]"
qatar,flag,"[127478, 127462]"
runion,flag,"[127479, 127466]"
romania,flag,"[127479, 127476]"
serbia,flag,"[127479, 127480]"
russia,flag,"[127479, 127482]"
rwanda,flag,"[127479, 127484]"
saudi arabia,flag,"[127480, 127462]"
solomon islands,flag,"[127480, 127463]"
seychelles,flag,"[127480, 127464]"
sudan,flag,"[127480, 127465]"
sweden,flag,"[127480, 127466]"
singapore,flag,"[127480, 127468]"
st. helena,flag,"[127480, 127469]"
slovenia,flag,"[127480, 127470]"
svalbard & jan mayen,flag,"[127480, 127471]"
slovakia,flag,"[127480, 127472]"
sierra leone,flag,"[127480, 127473]"
san marino,flag,"[127480, 127474]"
senegal,flag,"[127480, 127475]"
somalia,flag,"[127480, 127476]"
suriname,flag,"[127480, 127479]"
south sudan,flag,"[127480, 127480]"
so tom & prncipe,flag,"[127480, 127481]"
el salvador,flag,"[127480, 127483]"
sint maarten,flag,"[127480, 127485]"
syria,flag,"[127480, 127486]"
swaziland,flag,"[127480, 127487]"
tristan da cunha,flag,"[127481, 127462]"
turks & caicos islands,flag,"[127481, 127464]"
chad,flag,"[127481, 127465]"
french southern territories,flag,"[127481, 127467]"
togo,flag,"[127481, 127468]"
thailand,flag,"[127481, 127469]"
tajikistan,flag,"[127481, 127471]"
tokelau,flag,"[127481, 127472]"
timor-leste,flag,"[127481, 127473]"
turkmenistan,flag,"[127481, 127474]"
tunisia,flag,"[127481, 127475]"
tonga,flag,"[127481, 127476]"
turkey,flag,"[127481, 127479]"
trinidad & tobago,flag,"[127481, 127481]"
tuvalu,flag,"[127481, 127483]"
taiwan,flag,"[127481, 127484]"
tanzania,flag,"[127481, 127487]"
ukraine,flag,"[127482, 127462]"
uganda,flag,"[127482, 127468]"
u.s. outlying islands,flag,"[127482, 127474]"
united nations,flag,"[127482, 127475]"
united states,flag,"[127482, 127480]"
uruguay,flag,"[127482, 127486]"
uzbekistan,flag,"[127482, 127487]"
vatican city,flag,"[127483, 127462]"
st. vincent & grenadines,flag,"[127483, 127464]"
venezuela,flag,"[127483, 127466]"
british virgin islands,flag,"[127483, 127468]"
u.s. virgin islands,flag,"[127483, 127470]"
vietnam,flag,"[127483, 127475]"
vanuatu,flag,"[127483, 127482]"
wallis & futuna,flag,"[127484, 127467]"
samoa,flag,"[127484, 127480]"
kosovo,flag,"[127485, 127472]"
yemen,flag,"[127486, 127466]"
mayotte,flag,"[127486, 127481]"
south africa,flag,"[127487, 127462]"
zambia,flag,"[127487, 127474]"
zimbabwe,flag,"[127487, 127484]"
