name,annotations,codepoints,emoji,synonyms
"family: man, man, boy, boy","boy, family, man","[128104, 8205, 128104, 8205, 128102, 8205, 128102]",,"family, community"
"family: man, man, girl, girl","family, girl, man","[128104, 8205, 128104, 8205, 128103, 8205, 128103]",,"family, community"
"family: woman, woman, boy","boy, family, woman","[128105, 8205, 128105, 8205, 128102]",,"family, community"
"family: woman, woman, girl","family, girl, woman","[128105, 8205, 128105, 8205, 128103]",,"family, community"
"family: woman, woman, girl, boy","boy, family, girl, woman","[128105, 8205, 128105, 8205, 128103, 8205, 128102]",,"family, community"
"family: woman, woman, boy, boy","boy, family, woman","[128105, 8205, 128105, 8205, 128102, 8205, 128102]",,"family, community"
"family: woman, woman, girl, girl","family, girl, woman","[128105, 8205, 128105, 8205, 128103, 8205, 128103]",,"family, community"
"family: man, boy","boy, family, man","[128104, 8205, 128102]",,"family, community"
"family: man, boy, boy","boy, family, man","[128104, 8205, 128102, 8205, 128102]",,"family, community"
"family: man, girl","family, girl, man","[128104, 8205, 128103]",,"family, community"
"family: man, girl, boy","boy, family, girl, man","[128104, 8205, 128103, 8205, 128102]",,"family, community"
"family: man, girl, girl","family, girl, man","[128104, 8205, 128103, 8205, 128103]",,"family, community"
"family: woman, boy","boy, family, woman","[128105, 8205, 128102]",,"family, community"
"family: woman, boy, boy","boy, family, woman","[128105, 8205, 128102, 8205, 128102]",,"family, community"
"family: woman, girl","family, girl, woman","[128105, 8205, 128103]",,"family, community"
"family: woman, girl, boy","boy, family, girl, woman","[128105, 8205, 128103, 8205, 128102]",,"family, community"
"family: woman, girl, girl","family, girl, woman","[128105, 8205, 128103, 8205, 128103]",,"family, community"
light skin tone,"skin tone, type 12",[127995],🏻,"skin, skin tone, skin color, race"
medium-light skin tone,"skin tone, type 3",[127996],🏼,"skin, skin tone, skin color, race"
medium skin tone,"skin tone, type 4",[127997],🏽,"skin, skin tone, skin color, race"
medium-dark skin tone,"skin tone, type 5",[127998],🏾,"skin, skin tone, skin color, race"
dark skin tone,"skin tone, type 6",[127999],🏿,"skin, skin tone, skin color, race"
flexed biceps,"biceps, comic, flex, muscle",[128170],💪,"muscle, strength, can do it, strong, capable"
flexed biceps: light skin tone,"biceps, comic, flex, light skin tone, muscle","[128170, 127995]",,"muscle, strength, can do it, strong, capable"
flexed biceps: medium-light skin tone,"biceps, comic, flex, medium-light skin tone, muscle","[128170, 127996]",,"muscle, strength, can do it, strong, capable"
flexed biceps: medium skin tone,"biceps, comic, flex, medium skin tone, muscle","[128170, 127997]",,"muscle, strength, can do it, strong, capable"
flexed biceps: medium-dark skin tone,"biceps, comic, flex, medium-dark skin tone, muscle","[128170, 127998]",,"muscle, strength, can do it, strong, capable"
flexed biceps: dark skin tone,"biceps, comic, dark skin tone, flex, muscle","[128170, 127999]",,"muscle, strength, can do it, strong, capable"
selfie,"camera, phone, selfie",[129331],🤳,"selfie, phone, camera"
selfie: light skin tone,"camera, light skin tone, phone, selfie","[129331, 127995]",,"selfie, phone, camera"
selfie: medium-light skin tone,"camera, medium-light skin tone, phone, selfie","[129331, 127996]",,"selfie, phone, camera"
selfie: medium skin tone,"camera, medium skin tone, phone, selfie","[129331, 127997]",,"selfie, phone, camera"
selfie: medium-dark skin tone,"camera, medium-dark skin tone, phone, selfie","[129331, 127998]",,"selfie, phone, camera"
selfie: dark skin tone,"camera, dark skin tone, phone, selfie","[129331, 127999]",,"selfie, phone, camera"
backhand index pointing left,"backhand, finger, hand, index, point",[128072],👈,"left, finger, point, point left"
backhand index pointing left: light skin tone,"backhand, finger, hand, index, light skin tone, point","[128072, 127995]",,"left, finger, point, point left"
backhand index pointing left: medium-light skin tone,"backhand, finger, hand, index, medium-light skin tone, point","[128072, 127996]",,"left, finger, point, point left"
backhand index pointing left: medium skin tone,"backhand, finger, hand, index, medium skin tone, point","[128072, 127997]",,"left, finger, point, point left"
backhand index pointing left: medium-dark skin tone,"backhand, finger, hand, index, medium-dark skin tone, point","[128072, 127998]",,"left, finger, point, point left"
backhand index pointing left: dark skin tone,"backhand, dark skin tone, finger, hand, index, point","[128072, 127999]",,"left, finger, point, point left, pointing"
backhand index pointing right,"backhand, finger, hand, index, point",[128073],👉,"right, finger, point, point left, pointing"
backhand index pointing right: light skin tone,"backhand, finger, hand, index, light skin tone, point","[128073, 127995]",,"right, finger, point, point left, pointing"
backhand index pointing right: medium-light skin tone,"backhand, finger, hand, index, medium-light skin tone, point","[128073, 127996]",,"right, finger, point, point left, pointing"
backhand index pointing right: medium skin tone,"backhand, finger, hand, index, medium skin tone, point","[128073, 127997]",,"right, finger, point, point left, pointing"
backhand index pointing right: medium-dark skin tone,"backhand, finger, hand, index, medium-dark skin tone, point","[128073, 127998]",,"right, finger, point, point left, pointing"
backhand index pointing right: dark skin tone,"backhand, dark skin tone, finger, hand, index, point","[128073, 127999]",,"right, finger, point, point left, pointing"
index pointing up,"finger, hand, index, point, up",[9757],☝,"finger, point, point up, up, pointing up, pointing"
index pointing up: light skin tone,"finger, hand, index, light skin tone, point, up","[9757, 127995]",,"finger, point, point up, up, pointing up, pointing"
index pointing up: medium-light skin tone,"finger, hand, index, medium-light skin tone, point, up","[9757, 127996]",,"finger, point, point up, up, pointing up, pointing"
index pointing up: medium skin tone,"finger, hand, index, medium skin tone, point, up","[9757, 127997]",,"finger, point, point up, up, pointing up, pointing"
index pointing up: medium-dark skin tone,"finger, hand, index, medium-dark skin tone, point, up","[9757, 127998]",,"finger, point, point up, up, pointing up, pointing"
index pointing up: dark skin tone,"dark skin tone, finger, hand, index, point, up","[9757, 127999]",,"finger, point, point up, up, pointing up, pointing"
backhand index pointing up,"backhand, finger, hand, index, point, up",[128070],👆,"finger, point, point up, up, pointing up, pointing"
